ASA,"Antonio Serrepe Ascencio"
V,"Federico Villarreal Villarreal"
AM,"Toribio Alfonso de Mogrovejo"
AR,"Ana Ramos Cabrera"
AS,"J. Antonio Salas"
AT,"Alfredo Torero"
AV,"Amado Vilchez"
Ay,"José Ayala"
B,"Enrique Brüning"
Bas,"Adolf Bastian"
C,"Fernando de la Carrera"
CP,"Rodolfo Cerrón Palomino"
Cal,"Antonio de la Calancha"
H,"Konrad Huber"
H-K,"K. Huber - P. Kosok"
K,"Paúl Kosok"
L,"Rafael Larco Hoyle"
LC,"Lorenzo Colchón"
LL,"Manuel Llonto"
M,"Ernst Middendorf"
Mar,"B. Martínez de Compañón"
Q,"Rafael Quesquén"
R,"Domingo Reyes"
RS,"Antonio Rodríguez Suysuy"
SCH,"Richard Schaedel"
WL,"Walter Lehmann"
Z,"Jorge Zevallos Quiñones"
