1,"met%20na%20%28M%29,%20mongna%20%28M%29%28Z%29",ac%C3%A1%0A-%20m%C3%A1s%20ac%C3%A1%20=%20metna
2,"yop%20%28M%29,%20shopi%20%28B%29,%20shoponic%20%28V%29,%20sofonique%20%28L%29,%20muiny",abuela
3,jorr%20%28M%29%28Z%29,%C3%A1cido
4,"led%C3%A6c%20%28C%29,%20jedek%20%28M%29,%20led%20%28C%29,%20lei%C3%A6c%20%28C%29%28V%29",afuera%20%28adv.%29%0A-%20Hacia%20afuera%20=%20led%C3%A6c%20totna%20%28V%29%0A-%20Por%20afuera%20=%20led%C3%A6cna%20%28V%29%0A-%20De%20afuera%20=%20led%C3%A6c%20ich%20%28V%29%0A-%20Voy%20afuera%20=%20led%C3%A6c%20oi%C3%B1%20t%C3%A6c
5,"la%20%28C%29,%20ja%20%28M%29%28L%29%28V%29,%20chais%20%28Bas%29,%20j%C3%A1a%20%28B%29",agua%0A-%20Trae%20agua%20=%20metan%20la%20%28V%29
6,%C3%B1esho%20%28L%29%28Q%29,aguardiente
7,manei%C3%B1%20%28M%29,alimentarse
8,tut%C3%A4k%20%28M%29,ante%0A-%20Ante%20mi%20=%20moi%C3%B1%20tut%C3%A4k%20%28M%29
9,"min%20%28C%29%28V%29,%20m%C3%A4n%20%28M%29",aqu%C3%AD%20%28adv%29%0A-%20Aqu%C3%AD%20estuvo%20=%20mi%20nof%20l%C3%A6do%0A-%20De%20aqu%C3%AD%20=%20mi%20nich%20%28V%29%0A-%20Aqu%C3%AD%20estoy%20=%20menas%20lok%0A-%20Por%20aqu%C3%AD%20=%20mong%20na%20%28V%29
10,kuram,ardilla
11,"feluk%20%28M%29,%20filur%20%28M%29,%20filuc%20%28C%29","asiento,%20silla,%20trono%0A-%20Toma%20asiento%20=%20felan%20tut%20%28WL%29"
12,"irrm%20%28M%29,%20irr%C3%A6m%20%28C%29",asombrar
13,"tapa%20%28C%29,%20t%C3%A6p%C3%A6d%20%28V%29",azotar%0A-%20%C2%BFquieres%20que%20te%20azoten%3F%20=%20eng%20%C3%A6z%20t%C3%A6p%C3%A6r%20m%C3%A6m%20%28V%29
14,poye,banco%20de%20barro
15,"poog%20%28B%29,%20pol%C3%A4ng%20%28M%29,%20p%C3%B3ogan%20%28B%29",barriga
16,"sec%C3%BAye%20%28RS%29,%20aja%20%28M%29,%20succu%20%28B%29",blanco
17,"oquena%20%28B%29,%20oken%20%28Bas%29%28M%29,%20oc%C3%A6n%20%28V%29","brazo,%20el%20brazo"
18,"pe%C3%B1o%20%28Bas%29%28C%29,%20penjo%20%28Bas%29,%20pe%C3%B1%20%28C%29%28M%29,%20peinas%20%28L%29,%20peines%20%28Z%29",bueno%0A-%20Buen%20hombre%20=%20pe%C3%B1o%20%C3%B1of%C3%A6n%20%28V%29%0A-%20Buena%20mujer%20=%20pe%C3%B1o%20mecherr%C3%A6c%20%28V%29%0A-%20Buen%20%C3%A1rbol%20=%20pe%C3%B1o%20nep%C3%A6c
19,"ziuc%20%28C%29%28Z%29,%20ssiuk%20%28M%29,%20ciuc%20%28C%29",acull%C3%A1%0A-%20Por%20acull%C3%A1%20=%20ciuquich%20na
20,loctopanchi%20%28V%29,adi%C3%B3s%20%28a%20varios%29
21,"usap%20%28RS%29%28L%29,%20ep%20%28M%29,%20epe%20%28V%29",aj%C3%AD%0A-%20aj%C3%AD%20con%20sal%20=%20ap%20up%20-%20foin
22,lladap%20%28B%29,alga%20verde
23,"mutok,%20metok%20%28M%29,%20tug%20%28M%29",alto
24,artsopeke,antiguo
25,torr%C3%A6c%20%28V%29,aporreando%0A-%20De%20mi%20padre%20soy%20aporreado%20=%20efen%20ei%C3%B1%20torr%C3%A6c%20%28V%29%0A-%20Aporre%C3%A1is%20a%20vosotros%20padre%20=%20tuna%20pae%20coz%20ef%20%28V%29
26,kopoj%20%28M%29,arbusto
27,lapa%20%28B%29,bandeja%20de%20mate
28,"os%20%28M%29,%20nasofk%20%28M%29,%20ssiarrm%20%28M%29","bastante,%20mucho,%20suficiente"
29,%C3%B1ikoss%C3%A4k%20%28M%29,beneficio
30,kosk,brasa
31,singar%20%28Bas%29,b%C3%BAsqueda
32,"mena%20%28M%29,%20quixmic","abuelo,%20anciano,%20antepasado"
33,ch%C3%A4m%20%28M%29%28Z%29,"abundante,%20copioso"
34,"amexllec%20%28V%29%28C%29,%20amejek%20%28M%29","ahora%0A-%20Ahora%20tambi%C3%A9n%20=%20amexell%20%C3%A7%C3%A6en%20%28V%29%0A-%20Por%20ahora%20=%20amekej%20ss%C3%A4m%0A-%20Ahora,%20pues%20=%20sain"
35,"chillam%20coi%C3%B1,%20chic%20llam%20cox%20%28V%29",amistarse
36,"tai%C3%B1%20%28M%29,%20aiestim%20%28L%29%28Z%29,%20aiera%20i%C3%B1%20%28C%29","as%C3%AD%20pues,%20por%20consiguiente"
37,chep%20chep%20%28Ques%29,"avergonzado%0A-%20Tener%20verg%C3%BCenza%20=%20oxll%C3%A6m%20ein,%20oxll%C3%A6m%20az%20%28V%29"
38,jechis%20%28RS%29%28Q%29,barro%20ligoso
39,campisso,bellaco
40,%C2%A1mai%C3%B1%21%20%28V%29,%C2%A1ai%20de%20mi%21
41,chekereten%20%28B%29,alacr%C3%A1n
42,alcaldeio,-%20Siendo%20tu%20alcalde%20=%20tzhang%20alcaldeio%20%28V%29
43,"quixmic%20%28C%29,%20mena",anciano
44,porra%20%28M%29,aturdimiento
45,tarro%20chissek%20%28M%29,"bravura,%20fuerza"
46,jok%20%28B%29%28SCH%29,alcatraz
